"notes_id","explanation"
1931,"ဤအာယဟ်တွင် ရည်ညွှန်းထားသည့် ‘သူ’ ဟူသော အပြောခံနာမ်စားကို များသောအားဖြင့် မုဟမ္မဒ် ရစူလ် (ﷺ) ဟုသာ အနက်ကောက်ကြသည်။ စင်စစ် ထိုနာမ်စားသည် မုဟမ္မဒ် ရစူလ် (ﷺ) နှင့် ဆွေးနွေးနေသော မက္ကဟ်မြို့ ၏ ခေါင်းဆောင်တစ်ဦးကို ညွှန်းခြင်း ဖြစ်သည်။ သူသည် ဆွေးနွေးနေခိုက် မျက်မမြင် ပုဂ္ဂိုလ်တစ်ဦး[အာယဟ် ၂၊ [80:2] အောက်ခြေ (၁၉၃၂) တွင် ကြည့်ပါ]ဝင်လာသောကြောင့် မကျေမနပ် ဖြစ်ပြီး၊ အာယဟ်၌ ဖော်ပြထားသည့်အတိုင်း မျက်မှောင်ကြုတ်၍၊ မျက်နှာလွှဲကာ ကျောခိုင်း ထွက်သွားခြင်း ဖြစ်၏။ ၎င်းကို ရှေ့အာယဟ်တွင် ဆက်လက် ဖော်ပြထားသည်။"
1932,"ဤတွင် ရည်ညွှန်းသော (اَلْأَعْمٰى) ‘အအ်မာ’ “မျက်မမြင်” ပုဂ္ဂိုလ်၏ အမည်နာမကို သတ်ဖှ်စီရ် ကျမ်းများတွင် အဗ်ဒွတ်လ္လာဟ် အိဗ်နု အွန်မ္မိ မတ်က်သူမ်ဟု ဖော်ပြကြ၏။ သို့သော် ကုရ်အာန်က သူ မည်သူမည်ဝါ ဖြစ်သည် ဆိုသည်ကို ဖော်ပြ မထားချေ။ အကြောင်းမှာ ကုရ်အာန်သည် ပုဂ္ဂိုလ်ရေးထက် အကြောင်းအရာကိုသာ ဦးစားပေး ဖော်ပြခြင်း ကြောင့် ဖြစ်ပေသည်။ သို့ဖြစ်ရာ ကျွန်ုပ်တို့အနေနှင့် သူမည်သူဖြစ်သည်ဆိုသည်ထက် အကြောင်းအရာကိုသာ လေ့လာ ၍ အတုယူထိုက် ပေ သည်။"
1933,"ဤအာယဟ်တွင် သုံးနှုန်းထားသည့် ‘သူ့ထံ’ ဟူသော နာမ်စားမှာ မုဟမ္မဒ် ရစူလ် (ﷺ) ကို ရည်ညွှန်းခြင်း ဖြစ် သည်။ အထက်တွင် ဖော်ပြခဲ့သည့်အတိုင်း မက္ကဟ်မြို့၏ ခေါင်းဆောင်တဦး ဖြစ်သူ သည် မုဟမ္မဒ် ရစူလ် (ﷺ) နှင့် ဆွေး နွေးနေချိန်၌ အဆိုပါ မျက်မမြင် ပုဂ္ဂိုလ်သည် မုဟမ္မဒ် ရစူလ် (ﷺ) ထံ ဝင်ရောက်လာခြင်း ဖြစ်၏။"
1934,"ဤတွင် သုံးနှုန်းသော ‘သင့်အား’ ဟူသည်ကိုလည်း မုဟမ္မဒ် ရစူလ် (ﷺ) ဟုပင် အနက်ကောက်ကြ၏။ စင်စစ် အထက်တွင် ဖော်ပြခဲ့သော မက္ကဟ်မြို့၏ ခေါင်းဆောင်တစ်ဦးကိုသာ ရည်ညွှန်းခြင်း ဖြစ်၏။ ဆိုလိုသည်မှာ- ထိုမျက် မမြင်ပုဂ္ဂိုလ်သည် ရစူလ်၏ ကုရ်အာန်ဖြင့် ဆိုဆုံးမမှုကြောင့် အသိတရားရရှိသွားပြီး လိုက်နာခြင်းဖြင့် ကောင်းကျိုး ရရှိနိုင်သည်ဆိုသည်ကို သင်သိရှိနိုင်မည် မဟုတ်ဟူ၏။"
1935,"ထိုကာဖှိရ် ခေါင်းဆောင်သည် သူ့ကိုယ်သူ ပြည့်စုံသူဟု ထင်နေ၏။ ထိုသို့သော ပုဂ္ဂိုလ်အား ရစူလ်အနေနှင့် အလေးထား ဂရုစိုက်ရန် မလိုကြောင်း အသိပေးခြင်း ဖြစ်သည်။ လူ၏ ဆင်ခြင်ဉာဏ်သည် လိုအပ်ချက်များ အမြဲရှိနေ၍ အလ္လာဟ်ချမှတ်သည့် ဝဟ်ယ် (၎င်းသည် လူ့ဆင်ခြင်ဉာဏ်ထက် သာလွန်သည်) အပေါ် အခြေခံ၍ မိမိ၏ ပင်ကိုယ် ဆင် ခြင်ဉာဏ်ကို အသုံးချရမည်ဖြစ်ကြောင်း မှတ်သားအပ်ပေသည်။"
1936,"လူတစ်ယောက်သည် သူကိုယ်တိုင် အလ္လာ့ဟ်လမ်းညွှန်မှုအား ရွေးချယ် နာခံ၍ သူ၏ လူဖြစ်မှု အရည်အသွေးကို ဖွံ့ဖြိုးလာရန် ဆောင်ရွက်ရပေမည်။ ရစူလ်က သူ့အား ဖွံ့ဖြိုးလာရန် အဓမ္မနည်းဖြင့် အစ္စလာ့မ်ဘောင် အတွင်း သွတ် သွင်းရန် တာဝန်မရှိပေ။ ရစူလ်သည် သူ့အား တာဝန်ပေးထား သည်နှင့် အညီ ကျမ်းမြတ်ကုရ်အာန်ကို လိုက်နာခြင်းနှင့် ဖြန့်ချီ ခြင်းတို့ကိုသာ ပြုရမည်ဟု သတိပေးခြင်း ဖြစ်၏။ [ကြည့်။ [2:256]]"
1937,"[80:15-16]တို့ကို များသောအားဖြင့် မလာအိကဟ်က ကျမ်းမြတ်ကုရ်အာန်ကို မှတ်တမ်း တင်ထား သည်ဟု အနက်ကောက်ကြသည်။ စင်စစ် ဤအာယဟ်များတွင် မလာအိကဟ်ဟု ယူဆစရာ စကားလုံး တလုံးမျှပင် ပါဝင်ခြင်း မရှိချေ။ ၎င်းသည် မုဟမ္မဒ် ရစူလ် (ﷺ) ၏ အဆွ်ဟားဗ် (R.D) များအနက်မှ စာရေးများကို ရည်ညွှန်းခြင်းသာ ဖြစ်၏။ ဤအကြောင်းအရာနှင့် ပတ်သက်၍၊ [52:2] အောက်ခြေ (၁၆၆၉)၊ [52:3] အောက်ခြေ (၁၆၇၀-၇၁) နှင့် [56:78] အောက်ခြေ (၁၇၆၁) တို့တွင်လည်း ဖော်ပြခဲ့ပြီး ဖြစ်သည်။ [80:15]တွင် သုံးနှုန်းထားသော (سَفَرَةٌ) ‘စဖှရဟ်’ ဟူသည် စာပေ တစ်ခု၏ အနှစ်သာရကို နားလည်ပြီး၊ သဒ္ဒါနည်းကျကျ အလှအပများကို ပေါ်လွင်စေရန် စနစ်တကျ စီကုံးရေးသား မှတ်တမ်းတင်ခြင်းကို ခေါ်ဆိုသည်။ အိဗ်နု ဖှာရိစ် က ကုရ်အာန်ကို မှတ်တမ်းတင်ကြသော အဆွ်ဟားဗ် (R.D) များနှင့် ပတ်သက်၍ အောက်ပါအတိုင်း ဖွင့်ဆိုထားသည်။#“ကုရ်အာန်ကို မှတ်တမ်း တင်ကြသည့် အဆွ်ဟားဗ် (R.D) တို့၏ အရည်အချင်းသည်ကား သဒ္ဒါစည်းမျဉ်း များနှင့် စကားလုံး ဗေဒများကို ကျွမ်းကျင်စွာ တတ်မြောက်ထားသူများ ဖြစ်ကြ၏။ ဤအချက်ကို ထောက်ရှု ခြင်းအားဖြင့် အစ္စလာမ် မတိုင်မီ ကာလကတည်းက အရဗီစာပေ၏ အဆင့်မြင့်မှုကို ခန့်မှန်း၍ သိမြင်နိုင်ပေသည်။” [အန် (န်) နရှ်ရွတ်လ်ဖှန်နီ၊ အတွဲ ၁၊ စာမျက်နှာ ၅၆]#အိမာမ်ရာဇီ ကမူ သူ၏ သတ်ဖှ်စီရ် ကဗီးရ် တွင် “(سَفَرَةٌ) ‘စဖှရဟ်’ ဟူသည် “အဆွ်ဟားဗ် (R.D) တို့ကို ရည်ညွှန်းခြင်း ဖြစ်သည်” ဟု ရှင်းလင်းစွာ ဖော်ပြထားပေသည်။ (كِرَامٌ) ‘ကိရာမ်’ ဟူသည် “ထူးမြတ်သူများ၊ အလ္လာဟ်နှင့် လူသားတို့၏ အမြင်တွင် ယုံကြည်စိတ်ချရသူများ၊ အလ္လာဟ်သိစိတ် ထားရှိသူများ” ဟု ဖြစ်ပြီး၊ (بَرَرَةٌ) ‘ဗရရဟ်’ ဟူသည် “ကောင်းမွန် မြင့်မြတ်သူများ၊ ညှာတာထောက်ထားသူများ၊ မိမိတို့၏ တာဝန်ကို သိမြင်သူများ” ဖြစ်သည်ဟု ဖွင့်ဆိုသည်။#[ဆရာဂျာဝီဒ်သန်း၏ ကုရ်အာ့န်သုတပဒေသာ စာစုများ၊ စာမျက်နှာ (၂၁၅) အားမှီငြမ်းသည်]#မည်သို့ပင် ဖြစ်စေ၊ ကျမ်းမြတ်ကုရ်အာန်သည် မုဟမ္မဒ် ရစူလ် (ﷺ) ရှိစဉ်ကတည်းက စနစ်တကျ မှတ်တမ်းတင် ထားသောကျမ်း ဖြစ်ကြောင်း ဤအာယဟ်များ [80:15-16] အရလည်း သိရပေသည်။#[ဤအကြောင်းအရာနှင့် ပတ်သက်၍၊ [52:2] အောက်ခြေ (၁၆၆၉)၊ [52:3] အောက်ခြေ (၁၆၇၀-၇၁) နှင့် [56:78] အောက်ခြေ (၁၇၆၁) တို့ကိုပါ တွဲဖက် လေ့လာပါရန်]"
1938,"ဤအနက်ကောက်မှုများတွင် ဥပစာဖြစ်သော ‘ဆင်ခြင်ဉာဏ် အသုံးမချသောကြောင့် လူဖြစ်မှု အရည်အသွေး သေဆုံး၍၊ သင်္ချိုင်း (ဝါ) ဖွံ့ဖြိုးမှု ဖြစ်စဉ်ကို ရပ်တန့်စေခြင်း’ သည် ပို၍ သင့်တော်သည် ဟု ယူဆပါသည်။ ဆိုလိုသည်မှာ လွယ်ကူသော လူ့ဘဝလမ်းစဉ်ကို ပြဋ္ဌာန်းပေးထား သော်လည်း လူသည် အသိဉာဏ်ကို အသုံးမချဘဲ၊ မိမိကြီးပြင်းရာ အသိုင်းအဝိုင်း၏ ရိုးရာအစဉ်အလာ ကိုသာ သူ့ဘဝ၏ ရှင်သန်ရာဟု မှတ်ယူထားသောကြောင့် သူသည် သူသေတစ်ဦးနှင့် မည်သို့မျှ ခြားနားမှု မရှိကြောင်း ပြဆိုသည်။"
1939,"အလ္လာဟ်ပြဋ္ဌာန်းသော လူ့ဘဝ လမ်းစဉ်အပေါ် ဆင်ခြင်သုံးသပ်၊ သိမြင်နားလည်လာခြင်းဖြင့် အရှင့်စံချိန်နှင့် ကိုက်ညီလာသောအခါ၊ သူ၏ လူဖြစ်မှုအရည်အသွေးများ ပြန်လည် ရှင်သန်လာခြင်းကို ရည်ညွှန်းသည်။"
1940,"(اَلصَّآخَّةُ) ‘ဆွောခ်ခဟ်’ “နားမခံနိုင်လောက်အောင် ကျယ်လောင်သော ပေါက်ကွဲသံကြီး” “ပြင်းထန်သော ဘေးဒုက္ခကြီး” ဟူသော သုံးနှုန်းမှုတွင် ရှုထောင့်နှစ်ရပ် ပါဝင်သည်။#1. ပထမ ရှုထောင့်တွင် ကမ္ဘာ့စစ်ကြီးများ ဖြစ်ပေါ်လာ၍၊ ပေါက်ကွဲအားပြင်းသော လက်နက်များဖြင့် အပြန် အလှန် ပစ်ခတ် တိုက်ခိုက်ခြင်းကို ရည်ညွှန်းသည်။#2. ဒုတိယ ရှုထောင့်တွင် စကြဝဠာ၏ နိဂုံးချုပ်မှုကြောင့် ဂြိုဟ်နက္ခတ် အသီးသီးတို့ ပေါက်ကွဲခြင်းဖြင့် ဖြစ်ပေါ် လာသော အသံကို ရည်ညွှန်းသည်။"
