"notes_id","explanation"
1431,"‘လူတစ်ယောက်၏ ရင်ဘတ်၌ စိတ်နှလုံး နှစ်ခု မရှိနိုင်’ ဟူသည် လူတစ်ယောက်သည် တစ်ချိန်တည်းတွင် ဆန့်ကျင်ဘက် အယူအဆနှစ်ခုကို လက်ခံနိုင်စွမ်း မရှိကြောင်း တင်စားသုံးနှုန်းခြင်း ဖြစ်၏။ ဥပမာ- တစ်ချိန်တည်းတွင် မိမိဇနီးကို ဇနီးအဖြစ် မှတ်ယူပြီးနောက်၊ မိခင်ဖြစ်သည်ဟု မှတ်ယူ၍ မရချေ။ အတိတ်ခေတ်တွင် အရဗ်တို့သည် အမျိုးသမီး အခွင့်အရေး များကို နည်းအမျိုးမျိုးဖြင့် ချိုးဖောက်လေ့ ရှိကြရာ၊ မိမိဇနီးအား ပေါင်းသင်းလိုခြင်း မရှိသောအခါ၊ (إِيْـــــــــلَاءٌ) ‘အီလာအ်’ “ပေါင်းသင်းခြင်းမပြုဟု ကျိန်ဆိုမှု” ကို ပြုကြ၏။ [ကြည့်။ [2:226] တစ်ဖန် ဇနီးသည်ကို (ظِهَارٌ) ‘ဇိဟာရ်’ “သင်သည် ကျွန်ုပ်၏ မိခင်ကဲ့သို့ ဖြစ်သည်” ဟုလည်း ရည်ညွှန်းလေ့ ရှိကြ၏။ [ကြည့်။ [58:2]] ဆိုလိုသည်မှာ ဇနီးသည်ကို ပေါင်းသင်း ခြင်းသည် ကိုယ့်မိခင်ကို ပေါင်းသင်းသကဲ့သို့ ဖြစ်သည်ဟု ဆို၍ ကျောခိုင်းခြင်းကို ရည်ညွှန်း၏။#[(إِيْلَاءٌ) ‘အီလာအ်’ ကို ဖြေလျှော့နိုင်မည့် ပြစ်ဒဏ်ကို [2:226] တွင် ဖော်ပြထားပြီး၊ (ظِهَارٌ) ‘ဇိဟာရ်’ ကို ဖြေလျှော့နိုင်မည့် ပြစ် ဒဏ်ကို [58:3-4] တို့တွင် ဖော်ပြထားသည်]#မှတ်ချက်။ ကျွန်ုပ်တို့ခေတ်တွင် “ရှင်မကို ပေါင်းသင်းခြင်းသည် ကျွန်ုပ် မိမိ၏ မိခင်နှင့် ပေါင်းသင်းသကဲ့သို့ ဖြစ်# သည်ဟုလည်းကောင်း၊ “ရှင့်ကို ပေါင်းသင်းခြင်းသည် ကျွန်ုပ် မိမိ၏ ဖခင်နှင့် ပေါင်းသင်းသကဲ့သို့ ဖြစ်သည်ဟုလည်းကောင်း ကျိန်ဆိုသည့်အလေ့အထသည် ဤအာယဟ်၌ အကျုံးဝင်သည်။ ထို အတွက် [58:3-4] တွင် ဖော်ပြထားသည့်အတိုင်း အာပတ်ဖြေရမည်။"
1432,"မွေးစားသားသည် မွေးစားသားသာ ဖြစ်၍ သားအရင်း မဖြစ်နိုင်ဟူသော ညွှန်ကြားမှုသည် ပကတိအရှိတရား အား ထုတ်ဖော်ပြောဆိုခြင်း ဖြစ်ပေသည်။ သားသမီးအဖြစ် မွေးစားခွင့်ကို ပိတ်ပင်ခြင်း မဟုတ်ပေ။ သတိပြုရမည့် အချက်မှာ သားသမီးအရင်းအချာများ ရရှိအပ်သည့် အခွင့်အရေးများကို မွေးစားထားသော သားသမီးတို့အား ပေးခွင့် မရှိဆိုသည်ပင် ဖြစ်၏။"
1433,"မွေးစားသားများအား သူတို့၏ ဖခင်များနှင့် ဆက်စပ်ခေါ်ဝေါ်ခြင်း [ဥပမာ- (اِبْنُ فُلَانٍ) “မည်သူမည်ဝါ၏ သား” ဟု ခေါ်ဝေါ်ခြင်း]ဖြင့် မောင်နှမ အရင်းချင်း ထိမ်းမြားမိသော အမှားမျိုးမှ ရှောင်ကြဉ်နိုင်ပေသည်။ ထိုသို့ဖြင့် လူဖြစ်မှု ဝိသေသကို ထိန်းသိမ်းနိုင်ပေမည်။"
1434,") ‘နဗီ၏ ဇနီးသည်တို့သည် မုအ်မင်န်တို့၏ မိခင်များ ဖြစ်ကြ၏’ ဟု ဆိုခြင်းမှာ- သွေးသားအရ တော်စပ်ခြင်းကို ရည်ညွှန်း ခြင်း မဟုတ်ဘဲ၊ ဒီးန် (စနစ်) အပေါ် အကြောင်းပြု၍ တော်စပ်ခြင်းကို ရည်ညွှန်းသည်။ ဤနေရာတွင် နဗီဟု အထူးပြု သုံးနှုန်းခြင်းမှာ- မုဟမ္မဒ် ရစူလ် (ﷺ) ၏ ပုဂ္ဂလိက တည်ရှိမှုသည်လည်း ဒီးန် (စနစ်) ၌ တစ်ခန်းတစ်ကဏ္ဍအားဖြင့် အရေးပါကြောင်း ကို မီးမောင်းထိုးပြလို၍ ဖြစ်သည်။ ထိုအရေးပါမှုတွင် နဗီ၏ ဇနီးသည်များလည်း ပါဝင်လာသည်။ စင်စစ် နဗီသည် ဒီးန် (စနစ်) အရ ဖခင်သဖွယ် ဖြစ်၏။ ထို့ကြောင့် နဗီ၏ ဇနီးသည်များမှာ မိခင်၏ အဆင့်အတန်း၌ ရှိနေသည်။ ထို့ပြင် အမိုက်ခေတ်၏ အမျိုးသမီး အခွင့်အရေး ဆုံးရှုံးနေမှုများ အဆုံးသတ်ခြင်း၏ ပြယုဂ်လည်း ဖြစ်ပေသည်။ တိုင်းပြည်၊ စနစ် စသည်တို့အား ဦးဆောင်မှု အခန်း ကဏ္ဍ မှ ပြုပြင်ပြောင်းလဲ ပေးသူများကို မိခင်၊ ဖခင်ဟု တင်စားသုံးနှုန်းသည့် အလေ့အထများ ရှိနေကြောင်း ကျွန်ုပ်တို့ လက်ခံထား ကြသည် မဟုတ်လော။#သွေးသားတော်စပ်သော မိခင်နှင့် ထိမ်းမြားခြင်း မပြုရန် တားမြစ်ထားသကဲ့သို့၊ [ကြည့်။ [4:23]] နဗီ မရှိတော့သည့် နောက် စနစ်အားဖြင့် တော်စပ်သော မိခင်များဖြစ်ကြသည့် နဗီ၏ ဇနီးသည်များနှင့် ထိမ်းမြားခြင်းကိုလည်း အတိ အလင်း တားမြစ်ထား၏။ [ကြည့်။ [33:53]] မိမိတို့အား မွေးဖွားပေးခဲ့သော မိခင်များအပေါ် အခါခပ်သိမ်း ရိုသေလေးစား သကဲ့သို့ မိခင်၏ အဆင့်အတန်းတွင် ရှိကြသော နဗီ၏ ဇနီးသည်တို့အားလည်း အခါခပ်သိမ်း ရိုသေလေးစားကြရပေ မည်။ ဤသည်ကား ကျမ်းမြတ်ကုရ်အာန်၏ ပြဋ္ဌာန်းချက်တစ်ရပ် ဧကန်ပင် ဖြစ်၏။"
1435,"သွေးသားတော်စပ်မှုကြောင့် အတည်ဖြစ်သော အခွင့်အရေးသည် အခြားပတ်သက်မှုများထက် ပိုပေသည်။ အမွေဆက်ခံ ခြင်းသည် သွေးသားတော်စပ်မှု၌သာ ရှိ၏။ သို့ဖြစ်၍ အခြားပတ်သက်မှုများအတွက် ကျေးဇူးပြုလိုက ပြု နိုင်သည်ဟု လမ်းညွှန် ခြင်း ဖြစ်ပေသည်။ ထိုအတွက် (وَصِيَّةٌ) ‘ဝဆွိယဟ်’ “သေတမ်းစာ” ၌ သီးသန့် ရေးသားအပ်၏။ [ကြည့်။ [2:180] [4:11]]# မှတ်ချက်။ သေတမ်းစာ ရေးသားခြင်းသည် ပလပ်ခံရသည်ဟူသောအဆိုသည် ကျမ်းမြတ်ကုရ်အာန်နှင့် မည်သို့မျှ ပတ်သက်ခြင်း မရှိကြောင်း အထူးသတိပြုအပ်ပေသည်။"
1436,"အာယဟ် (၇) တွင် နဗီများထံမှ ပဋိညာဉ် ယူခဲ့ကြောင်း ဖော်ပြထား၏။ စင်စစ် ယင်းပဋိညာဉ်မှာ- အရှင့်ထံမှ ချမှတ်အပ် သော ဥပဒေကျမ်းများနှင့်အညီ လိုက်နာကြရန်နှင့် ယင်းဥပဒေကျမ်းများကို မိမိတို့ လူ့အဖွဲ့အစည်းသို့ ပြန် လည် ပို့ချ လမ်းညွှန် တည်ဆောက်စေခြင်းပင် ဖြစ်၏။ စင်စစ် ဤအာယဟ်တွင် သုံးနှုန်းထားသော (لِيَسْئَلَ) သည် “စစ်ဆေးမေးမြန်းခြင်း” အနက်ကို မဆောင်ဘဲ၊ “ဖော်ထုတ်နိုင်ရန် စီမံခြင်း” အနက်ကို ဆောင်၏။ ထို့ကြောင့် နဗီတို့၏ သစ္စာရှိမှုကို ဖော်ထုတ်နိုင်ရန် ပဋိညာဉ် ယူခဲ့ ခြင်း ဖြစ်ရာ နဗီတို့၏ သွန်သင်ချက်၏ အနှစ်သာရ ဖြစ်သော လုံခြုံမှုကို ယုံကြည်ချက်ဖြင့် တည်ဆောက်မှုအား သွေဖည်သူတို့အဖို့ အရေးယူ ဒဏ်ခတ်မှု အတည်ဖြစ်မည်ဟု ဆိုခြင်း ဖြစ်၏။ နဗီတို့က သစ္စာဖောက်သောကြောင့် စစ်ဆေးမေးမြန်း ခြင်း မဟုတ် ကြောင်း အထူးသတိပြုအပ်ပေသည်။ အရှင်က သစ္စာဝါဒီဟု အတည်ပြုပြီးသော သူတစ်ဦးအား စစ်ဆေးမေးမြန်းရန် အကြောင်း ပင် မရှိတော့ချေ။"
1437,"ဤအာယဟ်သည် မဒီနဟ်မြို့သို့ ကျူးကျော်တိုက်ခိုက်လာကြသော (أَحْزَابٌ) ‘အဟ်ဇာဗ်’ “မဟာမိတ်များ” အကြောင်း ကို ရည်ညွှန်းသည်ဟု ပညာရှင်များက ဖွင့်ဆိုကြသည်။ စင်စစ် ကုရ်အာန်၏ တင်ပြချက်မှာ အတိတ်သမိုင်း ကြောင်းသက်သက်ကို သိရှိရန်ဟူသည်ထက် ပိုပေသည်။ ဆိုလိုသည်မှာ ကမ္ဘာတည်သရွေ့ ကျူးကျော်မှုများ၊ တော် လှန်မှုများ၊ စစ်ရေးပဋိပက္ခများ ရှိနေ မည် ဖြစ်ပြီး၊ ထိုအတွက် နည်းလမ်းများ၊ အောင်မြင်မှုများ မည်သို့ ရရှိပုံကို ဖော်ပြ ခြင်း ဖြစ်ပေသည်။ တရားသောစစ် နိုင်ရမည် ဟူသော အလ္လာ့ဟ်ပြဋ္ဌာန်းချက်ကို သိရှိသောသူတို့သည် စိတ်ဓာတ် ခိုင်မာ၊ ရဲရင့်ပြတ်သားစွာ ရင်ဆိုင်တွန်းလှန်ကြရမည်ဟု သွန်သင် ထားသည်။ ထိုအခါ (رِيْحٌ) ‘ရီးဟ်’ “လေပြင်း” (ဝါ) (مَلَائِكَةٌ) ‘မလာအိကဟ်’ “လူသား၌ ကိန်းဝပ်လျက် ရှိသော စွမ်းအား များ” နှင့် ထိုစွမ်းအားများကို အသုံးချခြင်းဖြင့် “နည်းပညာများ”ပါတိုးတက်လာမည်ဟု ဆိုလိုသည်။ ၎င်းကို ‘သင်တို့ မမြင်နိုင် သော စစ်သည်များ’ ဟု ရည်ညွှန်းခြင်း ဖြစ်၏။ [[3:124-125] အောက်ခြေ (၄၂၁-၄၂၂)၊ [8:9] စသည်တို့နှင့် တွဲဖက် လေ့လာပါ ရန်]"
1438,"ကုရ်အာန်၏ သုံးနှုန်းပုံမှာ လွန်စွာ ရိုးရှင်း၏။ ‘မုဟမ္မဒ်၌ စံနမူနာ ရှိသည်’ ဟု မသုံးနှုန်းဘဲ၊ (فِيْ رَسُوْلِ اللهِ) ‘ဖှီး ရစူလစ်လ္လာဟ်’ “အလ္လာဟ်၏ ရစူလ်၌” ဟု ဆို၏။ အကယ်၍ မုဟမ္မဒ်၌ စံနမူနာ ရှိသည်ဟု ဆိုလျှင် မုဟမ္မဒ်၏ ပုဂ္ဂလ ဓိဋ္ဌာန် နေထိုင် စားသောက်မှု၊ အပြုအမူ၊ အမူအကျင့်များ၊ အမျိုးသားရေး အဆောင်အယောင်များ စသည်တို့ကို အတု ယူရပေမည်။ သို့ရာတွင် ‘အလ္လာဟ့်ရစူလ်၌ စံနမူနာ ရှိသည်’ ဟု ရည်ညွှန်းထားသောကြောင့် မုဟမ္မဒ် ရစူလ် (ﷺ) ၏ (رِسَالَةٌ) ‘ရိစာလဟ်’ “အလ္လာ့ဟ်လမ်းညွှန် မှာကြားချက်” အပေါ် လိုက်နာ၍ ပုံပေါ်လာသော လူ့ဘဝနှင့်လိုက်ဖက်သည့် စံနမူနာကောင်း ရှိသည်ဟု ဆိုရာရောက်သည်။ ထိုရှုထောင့်အရ ကျွန်ုပ် တို့သည် မုဟမ္မဒ် ရစူလ်အား ပုဂ္ဂိုလ်ရေး ကြည် ညိုမှုထက် သာလွန်သော ယုံကြည် ကိုးစား၊ အတုယူ စံထားမှု၊ မြတ်နိုးမှု စသည်တို့ကို သာ ပြုကြရမည်ဖြစ်ကြောင်း ရှင်း လင်းစွာ နားလည်အပ်ပေသည်။#[မှတ်ချက်။ ကျမ်းမြတ်ကုရ်အာန် တစ်အုပ်လုံးတွင် မုဟမ္မဒ် ရစူလ် (ﷺ) ဘက်သို့ ညွှန်းလျက် (سُنَّةُ الرَّسُوْلِ) ‘ရစူလ်၏ စွန္နဟ်’ ဟူသော အသုံးအနှုန်းကို လုံးဝ မတွေ့ရချေ။ အလ္လာ့ဟ်ဘက်သို့ ညွှန်း၍၊ (سُنَّةُ اللهِ) ‘အလ္လာဟ်၏ စွန္နဟ်’ဟူ၍သာ သုံးနှုန်းထားသည်။] [ကြည့်။ [17:77] အောက်ခြေ (၁၁၀၅)]#[ဆက်စပ်အာယဟ်များ [60:4,6]]"
1439,"တစ်ချိန်တွင် မုစ်လင်မ်တို့သည် နေရင်းဒေသ ဖြစ်သောမက္ကဟ်မြို့အား စွန့်ခွာခဲ့ကြရသည်။ ထိုအခါ မုစ်လင်မ်တို့၏ မြေယာ၊ အိုးအိမ်များနှင့် ဥစ္စာပစ္စည်းတို့ကို ကာဖှိရ်တို့က သိမ်းပိုက်ခဲ့ကြသည်။ ယခု ၎င်းကို မုစ်လင်မ်တို့ ပြန်လည် ပိုင်ဆိုင်ခွင့် ရခဲ့ကြပြီ။ ထို့ပြင် လူ့အခွင့်အရေး ဆုံးရှုံးနေကြသော တိုင်းပြည်များ၏ ပြည်သူတို့က အစ္စလာမ်၏ လူသား ဆန်မှုကို အသိအမှတ်ပြုလာကြ သောအခါ၊ ထိုတိုင်းပြည်များအထိပင် မုစ်လင်မ်တို့၏ အုပ်ချုပ်မှု ကျယ်ပြန့်လာခဲ့၏။ ဤသည်ကို (أَرْضًا لَّمْ تَطَــُٔوْهَا) “သင်တို့ ခြေမချရသေးသော နေရာဒေသ” ဟု ညွှန်းဆိုခြင်း ဖြစ်ပေသည်။#[ဆက်စပ်အာယဟ် [6:165] [24:55]]"
1440,"(أَزْوَاجُكَ) ‘အဇ်ဝါဂျုက’ ကို အများအားဖြင့် “သင့်ဇနီးသည်များ” ဟူ၍သာ အနက်ကောက်ကြ၏။ (أَزْوَاجٌ) ‘အဇ်ဝါဂျ်’ သည် (زَوْجٌ) ‘ဇောက်ဝ်ဂျ်’ ၏ ဗဟုဝုစ် ဖြစ်သည်။ [(زَوْجٌ) ‘ဇောက်ဝ်ဂျ်’ နှင့်ပတ်သက်၍၊ [2:35] အောက်ခြေ (၈၄) တွင်လည်း ဖော်ပြခဲ့ပြီးပြီ] ဤနေရာတွင် (زَوْجٌ) ‘ဇောက်ဝ်ဂျ်’ ၏ အဘိဓာန် အဓိပ္ပာယ်အချို့ကို ဖော်ပြလိုပေသည်။#زَوْجٌ# (၁) မျိုးတူ စုံတွဲ၊ (ဥပမာ- ဖိနပ်နှစ်ဖက်) (၂) ဆန့်ကျင်ဘက် စုံတွဲ၊ (ဥပမာ- နေ့နှင့် ည) ၎င်းကို (زَوْجَانِ) ‘ဇောက်ဝ်ဂျားန်’ ဟုလည်း သုံးနှုန်းသည်။ ၎င်းတို့အနက် တစ်ခုသည် တစ်ခု၏ (زَوْجٌ) ‘ဇောက်ဝ်ဂျ်’ ဖြစ်သည်။ ၎င်းသည် (فَرْدٌ) ‘ဖှရ်ဒ်’ “တစ်ကိုယ်ထီး တည်း” ဟူသော စကားလုံး၏ ဆန့်ကျင်ဘက် “စုံတွဲ” “အပေါင်းအဖော် နှင့်တကွ ရှိသူ” ဟူ၍ ဖြစ်သည်။ ထိုတည်ရှိသော အရာသည် မျိုးတူလည်း ဖြစ်နိုင်၍၊ ဆန့်ကျင်ဘက်လည်း ဖြစ် နိုင်သည်။ (زَوْجٌ) ‘ဇောက်ဝ်ဂျ်’[ဗဟုဝုစ်-အများကိန်း (أَزْوَاجٌ) ‘အဇ်ဝါဂျ်’]တွင် “အရာဝတ္ထုတိုင်း၏ မျိုးစိတ်များ” “အမျိုးအစားများ” ဟူသော အနက်သဘောအပြင် “ဆင်တူ ယိုးမှား အရာဝတ္ထုများ” “ကွဲပြားသော အုပ်စု များ” စသည်တို့လည်း ပါဝင်သည်။ [ကြည့်။ [20:131] [26:7] [51:49]]#زَوَّجَ الشَّيْءَ بِالشَّيْءِ#“သူသည် အရာဝတ္ထုတစ်ခုကို မျိုးတူသော အခြားတစ်ခုနှင့် ပေါင်းစည်းလိုက်သည်”ဆိုလိုသည်မှာ မျိုးတူ၊ ဝါဒတူများကို ပေါင်းဖက်စေခြင်း၊ ပေါင်းစည်းစေခြင်းဟူ၍ ဖြစ်၏။ [ကြည့်။ [37:22] [81:7]]#[42:50] တွင် သားယောကျ်ားလေးများနှင့် သမီးမိန်းကလေးများကို မိဘများအတွက် အဖော်အဖြစ် စု စည်းပေးခြင်းအတွက် (يُزَوِّجُ) ‘ယုဇောက်ဝ်ဝိဂျု’ ကို သုံးနှုန်းထား သည်။ ထို့ကြောင့် (زَوَّجَ) ‘ဇောက်ဝ်ဝဂျ’ ဟု သုံးနှုန်းတိုင်း ‘အိမ်ထောင်ပြုသည်’ ဟု အနက်ကောက်၍ မရချေ။#ကုရ်အာန်တွင် (أَزْوَاجٌ) ‘အဇ်ဝါဂျ်’ ကို “ဇနီးများ” သို့မဟုတ် “ခင်ပွန်းများ” ဟူသော အနက်အဓိပ္ပာယ် အတွက် သုံးနှုန်းသကဲ့သို့ “အပေါင်း အဖော်များ” “လုပ်ဖော်ကိုင်ဖက်များ” “ဝါဒတူ-အမြင်တူ အစုအဖွဲ့များ” “ဘဝအဖော်မွန်များ” “လက်တွဲဖော်များ” စသည်တို့ အတွက်လည်း သုံးနှုန်းထား၏။ [ကြည့်။ [2:35] အောက်ခြေ (၈၄)၊ [4:57]]#ဖော်ပြပါ အနက်သဘောများအရ ဤအာယဟ် တွင် သုံးနှုန်းထားသော (أَزْوَاجُكَ) ‘အဇ်ဝါဂျုက’ တွင် ရစူလ်၏ ဇနီးသည်များကိုသာ ရည်ညွှန်းခြင်း မဟုတ်ပါ။ ၎င်း၌ ရစူ့လ် စောင့်ရှောက်မှုအောက်တွင် အမှုထမ်းနေသော အမျိုးသမီး များ (ဝါ) လုပ်ဖော်ကိုင်ဖက်များပါ အကျုံးဝင်ကြောင်း နားလည်နိုင် သည်။"
