"Ayat_id","mm_Translation","multi_ayats"
1,"နေသည် 1941 ရစ်ပတ်၊ လိပ်ခေါက်ခြင်းကို ခံရသောအခါ၊ (တစ်နည်း) အလင်းရောင် မဲ့သွားသောအခါ-",""
2,"၎င်းပြင် သေးငယ်သော နယ်မြေများကို အုပ်ချုပ် (သည့် ဆန့်ကျင်) သူအုပ်စုများ မှေးမှိန်သွားကြ သော အခါ၊ (တစ်နည်း) ကစဥ့်ကလျား ဖြစ်သွားကြသောအခါ-*@*[ဤအာယဟ်၏ သဘောတရား ကို [77:8] အောက်ခြေ (၁၉၁၃) တွင် လေ့လာ ပါရန်]",""
3,"၎င်းပြင် တောင်များ (ဝါ) အာဏာရှင်များသည် (မိမိတို့၏ အခိုင်အမာ ရပ်တည်ရာများမှ) ဖယ်ရှားခံကြ ရသောအခါ၊ (တစ်နည်း) ရွေ့လျားသွားကြသောအခါ-*@*[ဤအာယဟ်နှင့် ပတ်သက်၍ [20:105] [56:5] အောက်ခြေ (၁၇၄၆)၊ [78:20] အောက်ခြေ (၁၉၁၈) စသည်တို့တွင် လေ့လာနိုင်ပါသည်]",""
4,"လမ်းပန်းဆက်သွယ်ရေးအတွက် အရေးပါလှသော အစီးအနင်းများ (အထူးသဖြင့်) ကုလားအုတ်မ များသည် ဘေးမဲ့ လွှတ် ထားခြင်း ခံကြရသောအခါ- (တစ်နည်း) ပေါင်းစည်း နေထိုင်ကြသော ဆွေမျိုး အသိုင်းအဝိုင်းများ ကွဲထွက်သွားသောအခါ- 1942",""
5,"၎င်းပြင် တောရိုင်း တိရစ္ဆာန်များသည် စုရုံးခံကြရသောအခါ- 1943",""
6,"၎င်းပြင် ပင်လယ်များသည် ဆူပွက် လျှံတက်လာသောအခါ- (တစ်နည်း) ပင်လယ်များ (ကို အကြောင်း ပြု၍ လူတို့၏ ကူးလူးဆက်ဆံမှုများ) သည် တိုးတက်လာသောအခါ- 1944",""
7,"၎င်းပြင် စရိုက်တူသော သူတို့အချင်းချင်း ပေါင်းစည်းမိကြသောအခါ၊ (တစ်နည်း) ကမ္ဘာ့ဒေသ အသီးသီးတို့၏ စည်ကား သိုက်မြိုက်မှုများ ပေါင်းစည်းသွားသောအခါ- 1945",""
8,"၎င်းပြင် အရှင်လတ်လတ် မြေမြှုပ်ခံရသော မိန်းကလေးများသည် “သင်သည် မည်သို့သော ပြစ်မှု ကြောင့် အဆုံးစီရင်ခြင်း ခံရသနည်း” ဟူ၍ မေးမြန်းခြင်းကို ခံရသောအခါ- 1946","8-9"
10,"၎င်းပြင် မှတ်တမ်းများသည် ဖွင့်ထားပြီး ဖြစ်သောအခါ- 1947",""
11,"၎င်းပြင် ကောင်းကင်သည် အလွှာအထပ်ထပ် ဖွင့်လှစ်ခြင်း ခံရသောအခါ- 1948",""
12,"၎င်းပြင် (ရာဇဝတ်သားတို့အဖို့ တုံ့ပြန်ဖြစ်ပေါ်လာမည့်) ဂျဟီးမ် (ဖွံ့ဖြိုးမှု ဆိတ်သုဉ်းရာ) သည် ပြင်း ထန်စွာ ပုံပေါ်လာသောအခါ-",""
