surah_id,surah_myanmar_name
1,"‘အံ့မခန်းဖွယ် စီမံမှု’ ကဏ္ဍ (၁)"
2,"‘နွားမ’ ကဏ္ဍ (၂)"
3,"အင်မ်ရာန်မျိုးနွယ် ကဏ္ဍ (၃)"
4,"အမျိုးသမီးများ ကဏ္ဍ (၄)"
5,"စားဖွယ်အခင်းအကျင်း ကဏ္ဍ (၅)"
6,"ခြေလေးချောင်း တိရစ္ဆာန်များ ကဏ္ဍ (၆)"
7,"အသိအမှတ်ပြုခံရသောအဆင့်အတန်းများ ကဏ္ဍ (၇)"
8,"သတ်မှတ်ချက်ထက်ပိုသောအရာများ ကဏ္ဍ (၈)"
9,"တာဝန်ကင်းခြင်း ကဏ္ဍ (၉)"
10,"‘ယူနုစ်’ ကဏ္ဍ (၁၀)"
11,"‘ဟူးဒ်’ ကဏ္ဍ (၁၁)"
12,"‘ယူစုဖှ်’ ကဏ္ဍ (၁၂)"
13,"‘မိုးချုန်းသံ’ ကဏ္ဍ (၁၃)"
14,"‘အိဗ်ရာဟီမ်’ ကဏ္ဍ (၁၄)"
15,"‘လူ့အသိဉာဏ်၊ အမြော်အမြင်’ ကဏ္ဍ (၁၅)"
16,"‘ပျား’ ကဏ္ဍ (၁၆)"
17,"‘ညဥ့်ခရီး’ ကဏ္ဍ (၁၇)"
18,"‘လိုဏ်ဂူ’ ကဏ္ဍ (၁၈)"
19,"‘မရ်ယန်မ်’ ကဏ္ဍ (၁၉)"
20,"‘တွော်၊ ဟာ’ ကဏ္ဍ (၂၀)"
21,"‘နဗီများ’ ကဏ္ဍ (၂၁)"
22,"‘ကမ္ဘာ့ညီလာခံ’ ကဏ္ဍ (၂၂)"
23,"‘လုံခြုံမှုကို ယုံကြည်ချက်ဖြင့် တည်ဆောက်သူများ’ ကဏ္ဍ (၂၃)"
24,"‘လင်းရောင်ခြည်’ ကဏ္ဍ (၂၄)"
25,"‘အမှားအမှန်ကို ကွဲပြားစေသောမှတ်ကျောက်’ ကဏ္ဍ (၂၅)"
26,"‘ကဗျာဆရာများ’ ကဏ္ဍ (၂၆)"
